Time (s), Cell Name, Value
294.90346, C012, 349.1031
295.15376, C012, 448.4842
297.75688, C012, 3440.994
298.75808, C012, 2259.835
301.76168, C012, 3006.484
302.31234, C012, 1673.167
308.77008, C012, 2427.944
312.47452, C012, 1054.537
113.8865, C013, 1171.122
114.93776, C013, 5468.108
116.3895, C013, 5220.925
139.81758, C013, 722.8778
143.22166, C013, 750.0002
146.97616, C013, 2932.067
147.87724, C013, 3618.207
149.77952, C013, 3567.447
150.98096, C013, 2829.286
152.28252, C013, 4700.2
152.83318, C013, 1480.571
155.13594, C013, 4715.84
157.1884, C013, 6808.54
264.11656, C013, 387.6392
136.56368, C014, 421.9008
142.22046, C014, 939.6019
143.12154, C014, 1108.336
146.47556, C014, 2572.138
149.07868, C014, 2361.311
149.82958, C014, 907.9141
155.33618, C014, 673.0017
34.39122, C015, 1873.405
36.24344, C015, 1054.332
39.0468, C015, 1397.476
40.34836, C015, 1365.77
41.39962, C015, 1668.954
43.70238, C015, 1250.592
44.20298, C015, 1732.339
71.93622000000001, C015, 878.6348
76.24138000000001, C015, 778.3348
77.14246, C015, 1021.207
77.64306000000001, C015, 890.6993
96.06514, C015, 646.2344
108.22972, C015, 875.0898
111.73392, C015, 652.0115
114.08674, C015, 1956.323
116.43956, C015, 540.6269
120.6446, C015, 462.1207
121.8961, C015, 3831.258
122.24652, C015, 1624.105
123.59814, C015, 1666.745
125.25012, C015, 5402.798
137.1644, C015, 509.474
140.81878, C015, 931.0986
144.4231, C015, 1085.805
147.07628, C015, 1835.982
149.62934, C015, 534.5456
151.4315, C015, 521.4746
158.9405, C015, 775.7189
196.58562, C015, 711.6303
201.79186, C015, 1644.329
203.2436, C015, 964.5205
203.59402, C015, 1991.234
210.60242, C015, 710.5107
222.0161, C015, 1125.944
249.64922, C015, 640.1876
302.3624, C015, 2063.122
309.67116, C015, 1616.144
15.11812, C016, 827.4805
17.0204, C016, 471.6589
17.47094, C016, 728.4793
18.82256, C016, 836.3422
22.2767, C016, 675.8493
36.64392, C016, 856.3612
40.44848, C016, 1943.296
64.3271, C016, 954.6893
64.97788, C016, 447.4464
76.54174, C016, 479.6095
77.29264000000001, C016, 504.4318
86.20332000000001, C016, 937.9726
87.15446, C016, 440.9542
111.43356, C016, 452.0693
115.58854, C016, 1296.451
116.6398, C016, 3849.141
122.59694, C016, 1595.62
148.1776, C016, 1560.12
149.12874, C016, 4935.069
150.53042, C016, 806.4984
151.13114, C016, 6122.479
152.83318, C016, 1134.905
154.6854, C016, 5615.611
155.53642, C016, 3587.349
157.48876, C016, 6345.816
159.1908, C016, 4137.875
175.51036, C016, 832.1594
182.56882, C016, 1095.424
183.9705, C016, 1391.644
185.12188, C016, 1405.266
214.65728, C016, 1314.968
223.2676, C016, 1100.74
227.07216, C016, 1468.494
247.2964, C016, 831.3453
261.26314, C016, 414.1349
265.768539, C016, 530.4327
276.28114, C016, 586.1479
277.23228, C016, 1637.428
281.98798, C016, 1797.239
294.3528, C016, 1111.224
295.1037, C016, 1111.761
297.857, C016, 471.3007
298.70802, C016, 1406.631
308.6199, C016, 1625.935
310.07164, C016, 1099.724
312.67476, C016, 1281.041
43.50214, C017, 278.2401
44.70358, C017, 1563.462
182.91924, C017, 611.8224
183.57002, C017, 1523.383
184.32092, C017, 3028.049
185.87278, C017, 532.3893
187.07422, C017, 1068.039
211.40338, C017, 444.5551
212.2544, C017, 715.8082
214.95764, C017, 576.6051
215.05776, C017, 2886.209
216.45944, C017, 1148.622
224.06856, C017, 1323.091
224.61922, C017, 1299.322
225.57036, C017, 235.1882
225.67048, C017, 763.3434
227.773, C017, 489.1988
228.42378, C017, 294.9387
229.92558, C017, 1833.626
231.82786, C017, 264.1839
274.12856, C017, 322.1252
277.53264, C017, 618.1191
278.0833, C017, 341.0972
282.53864, C017, 708.9859
282.78894, C017, 705.8751
283.43972, C017, 538.1946
283.5899, C017, 845.7292
285.0917, C017, 659.6337
299.20862, C017, 2037.959
300.71042, C017, 1279.165
309.1205, C017, 464.4855
309.22062, C017, 420.3389
309.67116, C017, 1048.011
310.02158, C017, 406.1575
310.42206, C017, 1865.829
312.97512, C017, 1321.969
313.27548, C017, 699.9418
313.47572, C017, 884.5352
315.67836, C017, 267.1759
316.3792, C017, 565.0864
70.98508, C018, 333.1931
71.38556, C018, 1098.795
72.03634, C018, 369.1592
233.93038, C018, 1175.324
234.73134, C018, 740.1385
236.38332, C018, 1146.921
115.08794, C019, 784.6808
116.58974, C019, 1083.906
122.44676, C019, 761.2708
137.06428, C019, 2195.299
138.4159, C019, 2227.887
139.46716, C019, 2017.235
142.02022, C019, 935.8002
142.57088, C019, 803.4706
143.12154, C019, 1428.076
145.72466, C019, 478.2305
148.97856, C019, 1202.843
149.87964, C019, 688.2603
155.23606, C019, 457.9967
155.9369, C019, 490.1621
157.28852, C019, 1014.351
26.48174, C020, 768.0325
26.93228, C020, 441.2393
28.93468, C020, 1942.298
29.48534, C020, 559.686
29.7857, C020, 1321.24
148.97856, C020, 391.5132
177.31252, C020, 775.6491
233.22954, C020, 491.4341
236.0329, C020, 557.9294
236.98404, C020, 486.8627
237.23434, C020, 889.0567
237.93518, C020, 1818.056
240.38812, C020, 633
305.31594, C020, 471.1313
106.02708, C021, 290.4244
114.3871, C021, 406.2563
134.71146, C021, 321.3996
138.96656, C021, 1022.599
139.6674, C021, 1481.551
140.26812, C021, 803.7543
140.71866, C021, 1840.596
141.87004, C021, 420.2921
143.57208, C021, 1348.816
144.6734, C021, 1246.249
144.9237, C021, 301.1244
145.02382, C021, 351.8351
147.12634, C021, 601.5735
151.1812, C021, 1528.942
151.48156, C021, 580.746
156.6878, C021, 666.3615
156.88804, C021, 1141.346
158.84038, C021, 1983.347
161.09308, C021, 2144.888
198.08742, C021, 400.1905
262.815, C021, 317.0591
311.92386, C021, 309.9717
16.219439, C022, 1482.146
21.92628, C022, 667.6484
22.37682, C022, 1612.642
27.533, C022, 374.1463
40.84896, C022, 359.8665
71.68592, C022, 408.1943
77.79324, C022, 366.7549
123.29778, C022, 413.5929
171.85598, C022, 874.2131
174.65934, C022, 642.7217
182.16834, C022, 297.9603
182.61888, C022, 738.7574
184.02056, C022, 859.5294
185.17194, C022, 2052.573
196.08502, C022, 437.6984
210.40218, C022, 638.3513
211.05296, C022, 1693.768
212.60482, C022, 1484.115
213.05536, C022, 570.8611
213.60602, C022, 447.9832
214.7574, C022, 758.8282
281.53744, C022, 458.656
281.98798, C022, 365.794
295.15376, C022, 316.5112
298.70802, C022, 472.9278
300.6103, C022, 789.17
302.76288, C022, 320.3626
312.67476, C022, 459.0092
312.92506, C022, 846.9656
46.50574, C023, 1047.915
46.85616, C023, 3345.704
114.08674, C023, 555.4651
130.406299, C023, 2178.993
131.35744, C023, 524.9498
131.60774, C023, 3162.778
133.71026, C023, 3717.892
137.96536, C023, 1883.794
140.81878, C023, 6612.066
149.27892, C023, 1925.18
150.63054, C023, 3767.016
153.63414, C023, 7456.299
154.48516, C023, 636.6724
158.84038, C023, 5596.532
162.24446, C023, 860.1863
163.59608, C023, 5588.089
166.84998, C023, 2614.258
168.9525, C023, 522.1484
207.29846, C023, 1107.85
26.23144, C024, 487.1317
31.43768, C024, 411.4205
57.01834, C024, 313.4732
92.41076, C024, 357.2086
92.76118, C024, 1561.097
94.56334, C024, 358.1252
226.32126, C024, 436.4761
241.63962, C024, 561.6722
243.19148, C024, 699.7267
22.12652, C025, 946.311
23.72844, C025, 986.2666
43.50214, C025, 651.2438
49.85976, C025, 424.3385
50.8109, C025, 1850.368
79.5954, C025, 512.2421
140.51842, C025, 764.2211
142.52082, C025, 769.9428
143.62214, C025, 1693.025
144.87364, C025, 695.8168
145.97496, C025, 1684.526
152.58288, C025, 1000.063
154.98576, C025, 967.6622
157.689, C025, 763.9364
187.67494, C025, 335.582
212.30446, C025, 2622.519
262.26434, C025, 838.8679
266.5695, C025, 446.2894
267.470579, C025, 592.2074
267.77094, C025, 1115.824
275.53024, C025, 328.1221
275.78054, C025, 361.2083
277.0821, C025, 3031.213
305.366, C025, 465.2818
1.20144, C026, 393.0981
1.5018, C026, 476.9208
1.90228, C026, 697.4539
2.503, C026, 1255.013
3.70444, C026, 2254.68
6.95834, C026, 481.2377
7.10852, C026, 2478.168
8.7605, C026, 2513.18
11.66398, C026, 2366.322
25.58066, C026, 471.9656
25.73084, C026, 1334.305
27.33276, C026, 852.0304
27.88342, C026, 2136.34
29.7857, C026, 354.8642
30.48654, C026, 2357.392
31.23744, C026, 1163.775
46.20538, C026, 1288.681
49.25904, C026, 357.5714
52.71318, C026, 1095.39
129.755519, C026, 455.2346
132.80918, C026, 625.3458
134.010619, C026, 2129.322
162.39464, C026, 944.462
163.64614, C026, 378.0277
164.04662, C026, 752.8149
165.198, C026, 442.8698
181.4675, C026, 484.9478
209.20074, C026, 308.7344
209.40098, C026, 317.1104
216.90998, C026, 646.4908
218.21154, C026, 332.795
218.41178, C026, 952.171
219.2628, C026, 1404.304
236.7838, C026, 322.4671
238.38572, C026, 1335.631
280.93672, C026, 745.3853
